iter	Passed	Remaining
700	2664	1136
701	2669	1133
702	2673	1129
703	2677	1125
704	2679	1121
705	2683	1117
706	2686	1113
707	2690	1109
708	2695	1106
709	2699	1102
710	2701	1098
711	2704	1093
712	2707	1089
713	2712	1086
714	2715	1082
715	2718	1078
716	2720	1073
717	2724	1070
718	2729	1066
719	2732	1062
720	2734	1058
721	2737	1053
722	2742	1050
723	2746	1047
724	2749	1042
725	2752	1038
726	2758	1035
727	2762	1032
728	2765	1027
729	2767	1023
730	2771	1019
731	2774	1015
732	2777	1011
733	2781	1007
734	2783	1003
735	2788	1000
736	2792	996
737	2797	993
738	2800	989
739	2804	985
740	2807	981
741	2812	978
742	2821	975
743	2824	971
744	2827	967
745	2833	964
746	2838	961
747	2842	957
748	2846	953
749	3039	1013
750	3044	1009
751	3049	1005
752	3055	1002
753	3058	997
754	3062	993
755	3070	991
756	3074	986
757	3078	982
758	3086	980
759	3090	975
760	3093	971
761	3098	967
762	3102	963
763	3107	959
764	3115	957
765	3119	952
766	3122	948
767	3129	945
768	3134	941
769	3137	937
770	3142	933
771	3145	928
772	3148	924
773	3152	920
774	3159	917
775	3163	913
776	3166	908
777	3172	905
778	3177	901
779	3180	897
780	3183	892
781	3188	888
782	3192	884
783	3195	880
784	3200	876
785	3204	872
786	3209	868
787	3212	864
788	3218	860
789	3222	856
790	3225	852
791	3231	848
792	3234	844
793	3237	839
794	3241	835
795	3247	832
796	3251	828
797	3254	823
798	3257	819
799	3265	816
800	3268	812
801	3271	807
802	3277	803
803	3281	800
804	3285	795
805	3288	791
806	3293	787
807	3296	783
808	3300	779
809	3304	775
810	3309	771
811	3312	766
812	3315	762
813	3320	758
814	3324	754
815	3328	750
816	3331	746
817	3336	742
818	3339	738
819	3343	733
820	3346	729
821	3350	725
822	3354	721
823	3357	717
824	3360	712
825	3363	708
826	3367	704
827	3372	700
828	3375	696
829	3381	692
830	3384	688
831	3387	684
832	3390	679
833	3393	675
834	3397	671
835	3400	667
836	3403	662
837	3405	658
838	3412	654
839	3415	650
840	3418	646
841	3421	642
842	3427	638
843	3430	634
844	3433	629
845	3436	625
846	3440	621
847	3443	617
848	3447	613
849	3450	608
850	3453	604
851	3458	600
